Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Jack Hughes,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Kaapo Kakko,100.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bowen Byram,100.0000,100.0000,100.0000,47.0418,15.2284,3.1815,0.2810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Alex Turcotte,100.0000,100.0000,100.0000,64.7026,26.3587,8.9175,2.6878,0.6951,0.1401,0.0225,0.0021,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Trevor Zegras,100.0000,100.0000,100.0000,94.1692,88.6026,69.0296,47.8348,29.8647,15.9155,6.7973,2.2689,0.5287,0.0998,0.0152,0.0014,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Dylan Cozens,100.0000,100.0000,100.0000,100.0000,94.8174,81.5801,61.0466,39.5124,22.1665,10.7110,4.4076,1.4843,0.4184,0.1023,0.0212,0.0041,0.0004,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Kirby Dach,100.0000,100.0000,100.0000,100.0000,96.8819,84.9552,70.2688,53.8232,35.0681,18.8756,8.4388,2.7462,0.6036,0.0835,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Vasili Podkolzin,100.0000,100.0000,100.0000,94.0864,81.2284,63.9407,46.9227,31.2717,17.8735,8.4012,3.4217,1.2975,0.3977,0.0813,0.0126,0.0021,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Peyton Krebs,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,96.0790,88.1603,75.8318,58.3373,35.1713,15.4086,4.8823,1.0639,0.1523,0.0106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Cole Caufield,100.0000,100.0000,100.0000,100.0000,96.8826,88.5805,75.8326,61.5089,47.4030,31.5204,18.5299,8.3315,3.2406,1.0590,0.2677,0.0527,0.0079,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Matthew Boldy,100.0000,100.0000,100.0000,100.0000,100.0000,99.8149,99.0467,95.6370,87.6602,71.7227,48.0381,23.1298,8.2536,2.1056,0.3723,0.0425,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Alex Newhook,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.5306,98.2327,95.5500,89.5514,79.3557,66.8961,48.9607,31.5461,18.3010,9.7153,4.7074,2.0738,0.8156,0.2799,0.0748,0.0152,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Philip Broberg,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.9961,99.9492,99.4160,94.9371,83.3797,63.7292,44.5864,30.0718,19.7604,12.5502,7.6444,4.4498,2.4631,1.2676,0.5737,0.2263,0.0723,0.0211,0.0044,0.0011,0.0004,0.0000,0.0000,0.0000,0.0000
