Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Jack Hughes,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaapo Kakko,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowen Byram,0,0,529582,318134,120469,29005,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Turcotte,0,0,352974,383439,174412,62297,19927,5550,1176,204,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Zegras,0,0,58308,55666,195730,211948,179701,139492,91182,45284,17402,4289,846,138,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Cozens,0,0,0,51826,132373,205335,215342,173459,114555,63034,29233,10659,3161,811,171,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby Dach,0,0,0,31181,119267,146864,164456,187551,161925,104368,56926,21426,5201,777,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vasili Podkolzin,0,0,59136,128580,172877,170180,156510,133982,94723,49795,21242,8998,3164,687,105,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Krebs,0,0,0,0,0,39210,79187,123285,174945,231660,197627,105263,38184,9116,1417,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Caufield,0,0,0,31174,83021,127479,143237,141059,158826,129905,101984,50909,21816,7913,2150,448,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Boldy,0,0,0,0,1851,7682,34097,79768,159375,236846,249083,148762,61480,17333,3298,389,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Newhook,0,0,0,0,0,0,4694,12979,26827,59986,101957,124596,179354,174146,132451,85857,50079,26336,12582,5357,2051,596,136,16,0,0,0,0,0,0,0,0
Philip Broberg,0,0,0,0,0,0,39,469,5332,44789,115574,196505,191428,145146,103114,72102,49058,31946,19867,11955,6939,3474,1540,512,167,33,7,4,0,0,0,0
Cam York,0,0,0,0,0,0,0,0,31,658,10320,63986,93183,102668,119644,132698,131000,113451,87685,62422,39658,23195,11903,5298,1778,396,26,0,0,0,0,0
Victor Soderstrom,0,0,0,0,0,0,0,2406,9606,26082,48241,114974,159192,200325,173897,122256,73834,38859,18130,7624,3028,1010,366,127,32,7,3,0,0,0,0,1
Moritz Seider,0,0,0,0,0,0,0,0,164,1300,11947,38478,58872,75909,105104,123929,125656,115730,99085,79992,60698,43028,28266,16731,8644,3916,1610,606,230,82,21,2
Arthur Kaliyev,0,0,0,0,0,0,0,0,0,0,19517,42567,63697,92410,109912,116371,117839,111216,96810,78071,58702,40336,25307,14188,7325,3407,1489,572,201,44,15,4
Bobby Brink,0,0,0,0,0,0,0,0,0,0,0,3,7994,21395,42283,67579,97978,125946,137520,129973,110138,85641,61779,44172,28771,18047,10244,5593,2783,1288,532,341
Spencer Knight,0,0,0,0,0,0,0,0,0,0,0,29508,46767,51809,50868,49092,47768,48664,51887,57383,65881,77528,87443,89620,80068,62399,42596,26403,15448,8771,4659,5438
Ville Heinola,0,0,0,0,0,0,0,0,0,0,0,0,0,485,1636,4112,9989,24953,50533,83548,114680,139623,152962,146052,116059,76284,43333,21175,9192,3550,1218,616
Thomas Harley,0,0,0,0,0,0,0,0,0,0,41,658,14946,29489,38127,49593,64861,82131,99895,113235,116921,109931,94861,74151,51325,31313,16177,7652,3005,1116,401,171
Pavel Dorofeyev,0,0,0,0,0,0,0,0,1333,6089,18888,38416,47921,50415,48958,46963,46732,50026,57654,65006,69878,71233,68240,63438,57172,48702,38647,29253,21611,15641,11576,26208
